sabha,work_id,work_category,work,state,mp_name,constituency,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,completed,sr_no,ida,expenditure_date,fund_disbursed_amount_rs,expenditure_sr_no,expenditure_state,expenditure_work,expenditure_ida,expenditure_mp_name,expenditure_constituency,vendor_name,payment_status,image,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_amount_rs,recommendation_sanction_amount_deviation_rs,sanctioned_to_recommended_ratio,disbursement_ratio,remaining_amount_rs,recommendation_to_sanction_days,sanction_to_completion_days,anomaly_score,is_anomaly,anomaly_component,financial_component,execution_component,completeness_component,risk_score,risk_level,risk_indicators,similar_works
Lok Sabha,WS/MP620/2024-2025/133166,Normal/Others,WS/ MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,497185.0,2024-07-09,497185.0,Physical Inspection,1,1,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,Images,2024-10-14,497185.0,147000000.0,,0.0,1.0,1.0,0.0,1,97.0,-0.02193796481684851,False,0.44777016081021687,0.0,0.10485651214128035,0.0,23.96,LOW,"['Very high recommendation/sanction amount deviation', 'Unusual disbursement ratio']",[]
Lok Sabha,WS/MP620/2025-2026/133167,Trust And Society,WS/ MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of College room of CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,500000.0,2025-09-18,500000.0,Sanction,0,2,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,,,,147000000.0,,0.0,1.0,,,437,,-0.004725082263345781,False,0.5347718496017511,0.0,0.5,0.5,36.74,MEDIUM,"['Elevated anomaly intensity', 'Very high recommendation/sanction amount deviation', 'Extended recommendation-to-sanction duration', 'Substantial missing information']",[]
Lok Sabha,WS/MP620/2024-2025/133190,Trust And Society,WS/ MP620/2024-2025/133190-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,450000.0,2024-09-23,450000.0,Sanction,0,3,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,,,,147000000.0,,0.0,1.0,,,77,,-0.08810268070931004,False,0.1133437796876193,0.0,0.09657320872274143,0.5,9.62,LOW,"['Very high recommendation/sanction amount deviation', 'Substantial missing information']",[]
Lok Sabha,WS/MP620/2025-2026/133191,Normal/Others,WS/ MP620/2025-2026/133191-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,1500000.0,2025-05-29,1500000.0,Work Partially Completed,0,4,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),,,,,,,,,,,,,,147000000.0,,0.0,1.0,,,325,,0.06425409732390874,True,0.8834238023988397,0.0,0.48286604361370716,0.5,53.91,MEDIUM,"['High anomaly intensity', 'Very high recommendation/sanction amount deviation', 'Substantial missing information']",[]
Lok Sabha,WS/MP620/2024-2025/133301,Normal/Others,WS/ MP620/2024-2025/133301-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,398009.0,2024-08-22,398009.0,Physical Inspection,1,5,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,Images,2025-02-03,398009.0,147000000.0,,0.0,1.0,1.0,0.0,44,165.0,-0.04719289516764008,False,0.32012032737866786,0.0,0.22508303934311238,0.0,19.38,LOW,"['Very high recommendation/sanction amount deviation', 'Unusual disbursement ratio']",[]
Lok Sabha,WS/MP620/2024-2025/133303,Normal/Others,WS/ MP620/2024-2025/133303-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,399104.0,2024-07-25,399104.0,Physical Inspection,1,6,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,Images,2025-02-14,399104.0,147000000.0,,0.0,1.0,1.0,0.0,16,204.0,-0.03688018576690988,False,0.37224542212041273,0.0,0.22451568979389738,0.0,21.98,LOW,"['Very high recommendation/sanction amount deviation', 'Unusual disbursement ratio']",[]
Lok Sabha,WS/MP620/2024-2025/133304,Normal/Others,WS/ MP620/2024-2025/133304-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,396154.0,2024-08-22,396154.0,Physical Inspection,0,7,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,,,,147000000.0,,0.0,1.0,,,44,,-0.08194671231005018,False,0.1444588265264149,0.0,0.045171339563862926,0.5,10.4,LOW,"['Very high recommendation/sanction amount deviation', 'Substantial missing information']",[]
Lok Sabha,WS/MP620/2025-2026/133305,Normal/Others,WS/ MP620/2025-2026/133305-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,400000.0,2025-06-03,400000.0,Sanction,0,8,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,,,,147000000.0,,0.0,1.0,,,329,,-0.03857782570064339,False,0.3636647825479486,0.0,0.48909657320872274,0.5,28.02,LOW,"['Very high recommendation/sanction amount deviation', 'Substantial missing information']",[]
Lok Sabha,WS/MP620/2024-2025/133306,Normal/Others,WS/ MP620/2024-2025/133306-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,495627.0,2025-03-14,495627.0,Physical Inspection,0,9,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,,,,147000000.0,,0.0,1.0,,,248,,-0.07072782077002532,False,0.20116417540202178,0.0,0.3629283489096573,0.5,18.0,LOW,"['Very high recommendation/sanction amount deviation', 'Substantial missing information']",[]
Lok Sabha,WS/MP620/2024-2025/133307,Normal/Others,WS/ MP620/2024-2025/133307-Construction of buildings for community cultural activities,Karnataka,Pralhad Venkatesh Joshi,Dharwad,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,398955.0,2024-08-17,398955.0,Physical Inspection,0,10,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),,,,,,,,,,,,,,147000000.0,,0.0,1.0,,,39,,-0.07875009285793316,False,0.16061598613600367,0.0,0.037383177570093455,0.5,11.09,LOW,"['Very high recommendation/sanction amount deviation', 'Substantial missing information']",[]
