sabha,work_id,work_category,work,state,ida,mp_name,elected_nominated,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,expenditure_total_rs,expenditure_transaction_count,expenditure_first_date,expenditure_last_date,expenditure_vendor_count,expenditure_payment_status_count,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_total_rs,consent_event_count,consent_calamity_type_count,consent_calamity_name_count,recommendation_sanction_gap_rs,expenditure_to_sanction_ratio,recommendation_to_sanction_days,sanction_to_completion_days,completed,sr_no,image
Rajya Sabha,WS/MP187/2023-2024/1199,Normal/Others,WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room Sompal Singh Memorial Public School,2023-06-14,1000000.0,2023-11-07,1000000.0,Vendor Identification,,,,,,,,,196063957.11,,,,,0.0,,146,,0,1,
Rajya Sabha,WS/MP187/2023-2024/1200,Normal/Others,WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya,2023-06-14,1000000.0,2023-12-08,1000000.0,Physical Inspection,221960.0,2.0,2024-10-24,2025-10-27,1.0,1.0,,,196063957.11,,,,,0.0,0.22196,177,,0,2,
Rajya Sabha,WS/MP187/2023-2024/1211,Normal/Others,WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges,Uttar Pradesh,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Classroom and hall Galaxy Public School lakhna,2023-06-14,1000000.0,2024-03-15,1000000.0,Work Completed,987994.0,3.0,2024-12-03,2025-05-22,1.0,1.0,2025-09-27,987994.0,196063957.11,,,,,0.0,0.987994,275,561.0,1,3,Images
Rajya Sabha,WS/MP001/2023-2024/1215,Normal/Others,"WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484933.0,2023-08-12,1484933.0,Work Completed,,,,,,,2023-09-23,1484933.0,237168443.49,,,,,0.0,,59,42.0,1,4,
Rajya Sabha,WS/MP001/2023-2024/1216,Normal/Others,"WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1486089.0,2023-08-12,1486089.0,Work Completed,,,,,,,2023-09-23,1486089.0,237168443.49,,,,,0.0,,59,42.0,1,5,
Rajya Sabha,WS/MP001/2023-2024/1217,Normal/Others,"WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484550.0,2023-08-12,1484550.0,Work Completed,,,,,,,2023-09-23,1484550.0,237168443.49,,,,,0.0,,59,42.0,1,6,
Rajya Sabha,WS/MP001/2023-2024/1218,Normal/Others,"WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484940.0,2023-08-12,1484940.0,Physical Inspection,,,,,,,2024-03-03,1484940.0,237168443.49,,,,,0.0,,59,204.0,1,7,Images
Rajya Sabha,WS/MP190/2023-2024/1301,Normal/Others,WS/MP190/2023-2024/1301-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi HighMast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,8,Images
Rajya Sabha,WS/MP190/2023-2024/1302,Normal/Others,WS/MP190/2023-2024/1302-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,9,Images
Rajya Sabha,WS/MP190/2023-2024/1303,Normal/Others,WS/MP190/2023-2024/1303-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED SEMI High Mast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,10,Images
Rajya Sabha,WS/MP190/2023-2024/1304,Normal/Others,WS/MP190/2023-2024/1304-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,11,Images
Rajya Sabha,WS/MP190/2023-2024/1305,Normal/Others,WS/MP190/2023-2024/1305-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,12,Images
Rajya Sabha,WS/MP187/2023-2024/1362,Normal/Others,WS/MP187/2023-2024/1362-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Light ( 6 lights),2023-06-21,283000.0,2023-07-07,283000.0,Work Completed,,,,,,,2023-08-02,283000.0,196063957.11,,,,,0.0,,16,26.0,1,13,Images
Rajya Sabha,WS/MP187/2023-2024/1363,Normal/Others,WS/MP187/2023-2024/1363-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,14,
